date_mutation,commune,code_postal,zone_toulon,numero_voie,type_voie,voie,adresse_complete,type_local,nombre_pieces,surface_reelle_bati,valeur_fonciere,prix_m2
01/02/2023,TOULON,83200,Ouest Toulon,9001,CITE,LAS PLAISANCE,9001 CITE LAS PLAISANCE,Appartement,4.0,65.0,113000.0,1738.46
03/02/2023,TOULON,83000,Centre / Littoral,11,ALL,JULES MURAIRE,11 ALL JULES MURAIRE,Maison,8.0,201.0,666500.0,3315.92
30/01/2023,TOULON,83000,Centre / Littoral,101,RUE,JOSE D ARBAUD,101 RUE JOSE D ARBAUD,Maison,5.0,128.0,594000.0,4640.62
03/02/2023,TOULON,83000,Centre / Littoral,136,AV,COMMANDANT JULES HAMEL,136 AV COMMANDANT JULES HAMEL,Maison,3.0,86.0,320000.0,3720.93
17/01/2023,TOULON,83000,Centre / Littoral,9,ALL,DU DOCTEUR LAURES,9 ALL DU DOCTEUR LAURES,Appartement,3.0,53.0,120000.0,2264.15
30/01/2023,TOULON,83200,Ouest Toulon,273,RUE,LACORDAIRE,273 RUE LACORDAIRE,Appartement,3.0,57.0,100000.0,1754.39
16/01/2023,TOULON,83200,Ouest Toulon,677,RUE,DAVID,677 RUE DAVID,Appartement,4.0,74.0,187000.0,2527.03
09/01/2023,TOULON,83100,Est Toulon,292,BD,MARECHAL JOFFRE,292 BD MARECHAL JOFFRE,Appartement,2.0,29.0,71000.0,2448.28
19/01/2023,TOULON,83200,Ouest Toulon,20,BD,DE PARIS,20 BD DE PARIS,Appartement,3.0,52.0,110000.0,2115.38
26/01/2023,TOULON,83200,Ouest Toulon,348,BD,DE L ESCAILLON,348 BD DE L ESCAILLON,Appartement,3.0,66.0,130000.0,1969.7
18/01/2023,TOULON,83000,Centre / Littoral,157,AV,EMILE VINCENT,157 AV EMILE VINCENT,Appartement,4.0,60.0,117830.0,1963.83
26/01/2023,TOULON,83100,Est Toulon,45,AV,NOBEL,45 AV NOBEL,Appartement,2.0,45.0,60000.0,1333.33
10/02/2023,TOULON,83200,Ouest Toulon,9103,CHE,DE LA BEAUCAIRE,9103 CHE DE LA BEAUCAIRE,Appartement,4.0,84.0,264000.0,3142.86
26/01/2023,TOULON,83200,Ouest Toulon,186,AV,DE VALBOURDIN,186 AV DE VALBOURDIN,Appartement,3.0,78.0,297450.0,3813.46
26/01/2023,TOULON,83200,Ouest Toulon,186,AV,DE VALBOURDIN,186 AV DE VALBOURDIN,Appartement,3.0,68.0,297450.0,4374.26
31/01/2023,TOULON,83000,Centre / Littoral,121,AV,ANTOINE SENEQUIER,121 AV ANTOINE SENEQUIER,Appartement,3.0,57.0,50385.0,883.95
31/01/2023,TOULON,83000,Centre / Littoral,13,RUE,DES RIAUX,13 RUE DES RIAUX,Appartement,3.0,48.0,570000.0,11875.0
31/01/2023,TOULON,83000,Centre / Littoral,13,RUE,DES RIAUX,13 RUE DES RIAUX,Appartement,1.0,28.0,570000.0,20357.14
31/01/2023,TOULON,83000,Centre / Littoral,13,RUE,DES RIAUX,13 RUE DES RIAUX,Appartement,1.0,36.0,570000.0,15833.33
31/01/2023,TOULON,83000,Centre / Littoral,13,RUE,DES RIAUX,13 RUE DES RIAUX,Appartement,2.0,41.0,570000.0,13902.44
31/01/2023,TOULON,83000,Centre / Littoral,13,RUE,DES RIAUX,13 RUE DES RIAUX,Appartement,1.0,36.0,570000.0,15833.33
31/01/2023,TOULON,83000,Centre / Littoral,13,RUE,DES RIAUX,13 RUE DES RIAUX,Appartement,1.0,36.0,570000.0,15833.33
31/01/2023,TOULON,83000,Centre / Littoral,13,RUE,DES RIAUX,13 RUE DES RIAUX,Appartement,2.0,41.0,570000.0,13902.44
31/01/2023,TOULON,83000,Centre / Littoral,13,RUE,DES RIAUX,13 RUE DES RIAUX,Appartement,1.0,36.0,570000.0,15833.33
03/02/2023,TOULON,83000,Centre / Littoral,40,RUE,MAISSIN,40 RUE MAISSIN,Appartement,2.0,49.0,140000.0,2857.14
25/01/2023,TOULON,83000,Centre / Littoral,12,BD,PAULIN BERTRAND,12 BD PAULIN BERTRAND,Appartement,1.0,23.0,83000.0,3608.7
26/01/2023,TOULON,83000,Centre / Littoral,163,BD,DOCTEUR CHARLES BARNIER,163 BD DOCTEUR CHARLES BARNIER,Appartement,4.0,70.0,103650.0,1480.71
10/02/2023,TOULON,83100,Est Toulon,9,RUE,LIEUTENANT THIERRY,9 RUE LIEUTENANT THIERRY,Appartement,3.0,56.0,120600.0,2153.57
08/02/2023,TOULON,83200,Ouest Toulon,9002,RUE,DU MONT DES EAUX,9002 RUE DU MONT DES EAUX,Appartement,3.0,54.0,155000.0,2870.37
08/02/2023,TOULON,83000,Centre / Littoral,195,AV,MARCEL CASTIE,195 AV MARCEL CASTIE,Appartement,4.0,113.0,668120.0,5912.57
31/01/2023,TOULON,83000,Centre / Littoral,978,BD,JULES MICHELET,978 BD JULES MICHELET,Appartement,4.0,82.0,598000.0,7292.68
31/01/2023,TOULON,83200,Ouest Toulon,70,AV,FRANDORE,70 AV FRANDORE,Maison,3.0,70.0,225000.0,3214.29
17/01/2023,TOULON,83000,Centre / Littoral,949,AV,FRANCOIS NARDI,949 AV FRANCOIS NARDI,Appartement,4.0,62.0,220000.0,3548.39
10/01/2023,TOULON,83100,Est Toulon,169,ALL,DES BOUGAINVILLEES,169 ALL DES BOUGAINVILLEES,Maison,4.0,180.0,750000.0,4166.67
08/02/2023,TOULON,83000,Centre / Littoral,44,AV,FRANCOIS CUZIN,44 AV FRANCOIS CUZIN,Appartement,3.0,78.0,103000.0,1320.51
02/02/2023,TOULON,83200,Ouest Toulon,227,CHE,DE PLAISANCE,227 CHE DE PLAISANCE,Appartement,3.0,60.0,119050.0,1984.17
03/02/2023,TOULON,83000,Centre / Littoral,386,QUAI,MARCEL PAGNOL,386 QUAI MARCEL PAGNOL,Appartement,4.0,82.0,160000.0,1951.22
06/02/2023,TOULON,83000,Centre / Littoral,29,RUE,ANTOINE BONNET,29 RUE ANTOINE BONNET,Appartement,3.0,70.0,182000.0,2600.0
30/01/2023,TOULON,83200,Ouest Toulon,9002,IMP,BISKRA,9002 IMP BISKRA,Appartement,3.0,52.0,102500.0,1971.15
25/01/2023,TOULON,83000,Centre / Littoral,47,RUE,GIMELLI,47 RUE GIMELLI,Appartement,4.0,90.0,395000.0,4388.89
02/02/2023,TOULON,83200,Ouest Toulon,102,RUE,SAINT LAURENT,102 RUE SAINT LAURENT,Appartement,2.0,45.0,390000.0,8666.67
02/02/2023,TOULON,83200,Ouest Toulon,102,RUE,SAINT LAURENT,102 RUE SAINT LAURENT,Appartement,2.0,45.0,390000.0,8666.67
02/02/2023,TOULON,83200,Ouest Toulon,102,RUE,SAINT LAURENT,102 RUE SAINT LAURENT,Appartement,2.0,47.0,390000.0,8297.87
02/02/2023,TOULON,83200,Ouest Toulon,102,RUE,SAINT LAURENT,102 RUE SAINT LAURENT,Appartement,4.0,83.0,390000.0,4698.8
03/02/2023,TOULON,83100,Est Toulon,2,RUE,DU BOURGET,2 RUE DU BOURGET,Appartement,2.0,40.0,95000.0,2375.0
27/01/2023,TOULON,83000,Centre / Littoral,367,BD,JEAN BAPTISTE ABEL,367 BD JEAN BAPTISTE ABEL,Appartement,1.0,28.0,131700.0,4703.57
30/01/2023,TOULON,83200,Ouest Toulon,411,BD,FOURNIOL,411 BD FOURNIOL,Maison,4.0,100.0,364000.0,3640.0
02/02/2023,TOULON,83200,Ouest Toulon,52,IMP,DE LA JONQUIERE,52 IMP DE LA JONQUIERE,Appartement,3.0,70.0,157000.0,2242.86
10/02/2023,TOULON,83000,Centre / Littoral,9001,,PALAIS SOLEIL,9001  PALAIS SOLEIL,Appartement,3.0,64.0,154000.0,2406.25
